4:586
678000,134,3,2,#1
1450000,84,1,1,#2
1399000,218,4,4,#3
5595000,163,2,2,#4
5975000,185,2,2,#5
7515000,233,2,2,#6
6410000,206,3,3,#7
8435000,235,3,3,#8
7690000,208,3,3,#9
1190000,89,1,1,#10
1445000,77,1,1,#11
17850000,420,4,4,#12
855000,43,0,1,#13
948000,61,1,1,#14
920000,82,2,2,#15
2490000,111,2,2,#16
249000,53,1,1,#17
1899000,236,8,5,#18
209000,69,1,1,#19
1888000,308,4,5,#20
1200000,87,1,1,#21
599000,120,3,2,#22
870000,182,7,2,#23
475000,100,3,1,#24
1295000,105,2,2,#25
774900,222,4,3,#26
749000,184,3,2,#27
735000,45,0,1,#28
1725000,124,3,2,#29
788000,110,3,1,#30
510000,40,0,1,#31
499000,120,3,1,#32
3799000,562,7,3,#33
1099000,157,2,2,#34
1128888,214,3,2,#35
1835000,139,3,3,#36
149000,37,0,1,#37
2100000,140,3,3,#38
760000,51,0,1,#39
1700000,141,3,3,#40
915000,62,1,1,#41
815000,52,0,1,#42
895000,78,2,2,#43
625000,62,2,1,#44
749000,157,3,2,#45
325000,67,2,1,#46
534900,166,2,1,#47
149000,69,1,1,#48
688000,143,4,2,#49
785000,53,0,1,#50
309000,95,2,1,#51
239000,74,1,1,#52
639000,185,5,2,#53
8995000,178,2,2,#54
690000,43,0,1,#55
645000,57,1,1,#56
2550000,190,3,3,#57
1649000,575,5,4,#58
539000,165,2,2,#59
499000,133,3,2,#60
1600000,334,9,4,#61
4495000,179,3,3,#62
4970000,165,2,2,#63
995000,408,4,3,#64
15450000,626,8,8,#65
1295000,111,2,1,#66
3999000,1194,5,6,#67
3250000,189,3,3,#68
3415000,132,2,2,#69
1895000,96,2,2,#70
1250000,88,3,2,#71
950000,67,1,1,#72
579000,118,5,2,#73
799000,47,0,1,#74
865500,41,0,1,#75
799000,150,2,2,#76
948000,115,3,2,#77
1500000,104,2,2,#78
2499000,204,2,2,#79
399000,109,4,2,#80
680000,148,3,2,#81
469000,78,1,1,#82
995000,113,3,2,#83
839000,213,6,4,#84
1950000,312,6,3,#85
1125000,167,6,4,#86
3995000,215,4,4,#87
1249000,195,5,3,#88
1200000,278,6,4,#89
1900000,111,11,3,#90
499999,175,3,2,#91
1100000,116,2,2,#92
2900000,237,4,4,#93
349000,78,1,1,#94
1798000,277,5,4,#95
845000,60,1,1,#96
1398000,130,4,3,#97
1200000,48,1,1,#98
829000,204,6,3,#99
940000,68,1,1,#100
1225000,128,2,2,#101
1500000,91,0,1,#102
1725000,109,2,2,#103
574000,59,1,1,#104
583000,59,1,1,#105
940000,90,2,2,#106
946000,87,2,2,#107
597000,59,1,1,#108
565000,58,1,1,#109
450000,44,0,1,#110
575000,58,1,1,#111
589000,115,2,2,#112
6500000,235,4,4,#113
129000,69,1,1,#114
6135990,231,4,4,#115
6310000,186,3,3,#116
3855000,154,2,2,#117
174900,65,1,1,#118
457000,89,1,2,#119
565000,134,3,1,#120
4800000,168,3,3,#121
4025990,163,3,3,#122
699000,172,4,2,#123
3780000,128,2,2,#124
3725000,130,2,2,#125
4120000,145,2,2,#126
3710000,134,2,2,#127
3830000,131,2,2,#128
221000,79,3,1,#129
675000,226,4,2,#130
849900,177,4,2,#131
2720990,111,2,2,#132
3125000,122,2,2,#133
2400000,91,1,1,#134
2050000,82,1,1,#135
880000,199,3,3,#136
360000,85,2,1,#137
1960000,79,1,1,#138
1900000,71,1,1,#139
319000,74,1,1,#140
708000,89,2,1,#141
238888,65,1,1,#142
649000,107,3,3,#143
2100000,95,1,1,#144
1198000,111,4,2,#145
525000,137,3,2,#146
999000,162,2,3,#147
1585000,101,2,2,#148
1440000,101,2,2,#149
699000,75,2,2,#150
1100000,142,3,3,#151
818800,222,3,2,#152
6135990,231,4,4,#153
5750990,207,3,3,#154
878000,232,5,2,#155
569000,158,3,2,#156
1099000,271,4,4,#157
568888,148,4,2,#158
549998,137,3,1,#159
4650000,231,2,3,#160
839900,281,5,3,#161
619000,153,3,2,#162
2070990,113,2,2,#163
6695000,208,3,4,#164
299000,83,2,1,#165
1060000,74,1,1,#166
394900,98,2,1,#167
1590000,238,5,4,#168
2295000,89,1,2,#169
599000,111,3,2,#170
379900,97,2,2,#171
1000000,102,2,2,#172
1150000,69,2,1,#173
275000,69,0,1,#174
599000,137,3,2,#175
1988000,241,7,5,#176
599000,79,2,2,#177
275000,37,0,1,#178
1500000,204,6,3,#179
275000,46,0,1,#180
569000,55,0,1,#181
1149000,196,7,2,#182
349900,74,1,1,#183
219000,171,7,2,#184
5995000,274,3,4,#185
719000,118,3,3,#186
945000,67,1,1,#187
3150000,153,3,3,#188
5650000,231,4,4,#189
9950000,417,5,6,#190
4900000,231,4,4,#191
7135000,343,5,6,#192
4375000,191,3,3,#193
2550000,138,2,3,#194
8650000,269,4,4,#195
5880000,302,4,5,#196
3225000,126,2,2,#197
998000,98,2,2,#198
3450000,172,3,3,#199
1995000,112,2,2,#200
3400000,165,3,3,#201
2850000,165,3,3,#202
290000,74,1,1,#203
299000,67,1,1,#204
748000,118,3,2,#205
899000,195,2,2,#206
565000,157,6,2,#207
998000,135,4,1,#208
2727000,156,2,2,#209
676000,61,1,1,#210
399000,106,2,2,#211
899000,208,4,3,#212
649000,204,2,1,#213
278000,130,4,2,#214
769000,222,3,2,#215
659000,193,4,3,#216
659900,209,3,2,#217
549900,89,3,1,#218
599000,185,5,2,#219
529000,120,3,1,#220
549888,128,3,1,#221
1199000,241,6,3,#222
868000,288,6,5,#223
729000,349,5,2,#224
525000,109,3,1,#225
699000,175,3,2,#226
919000,111,2,2,#227
2860000,130,2,2,#228
381000,83,2,1,#229
381000,83,2,1,#230
275000,69,0,1,#231
1080000,193,5,2,#232
425000,97,2,2,#233
1125000,260,6,4,#234
1388000,157,3,2,#235
1799000,297,7,4,#236
1725000,72,1,1,#237
1360000,57,0,1,#238
249888,69,1,1,#239
4495000,334,4,4,#240
399000,118,3,2,#241
529000,162,3,2,#242
550000,72,1,1,#243
475000,65,1,1,#244
425000,92,2,1,#245
869000,180,6,3,#246
549000,125,3,2,#247
559000,175,2,2,#248
362782,99,2,1,#249
524999,105,3,2,#250
1150000,102,2,2,#251
568000,68,2,2,#252
2180000,245,7,5,#253
795000,93,1,1,#254
365000,126,3,1,#255
1740000,194,3,2,#256
968000,253,5,2,#257
715000,66,1,1,#258
1049000,61,0,1,#259
699000,46,0,1,#260
885000,62,1,1,#261
1350000,100,2,2,#262
895000,61,1,1,#263
475000,227,5,3,#264
1349000,120,1,1,#265
1325000,140,2,2,#266
1250000,114,3,2,#267
1695000,171,5,5,#268
465000,104,3,1,#269
549000,130,3,2,#270
588000,102,3,1,#271
369900,115,2,1,#272
409000,67,1,1,#273
679000,147,3,2,#274
460000,69,1,1,#275
1095000,185,3,3,#276
949000,167,3,1,#277
349000,89,2,1,#278
679000,107,3,1,#279
599888,162,3,3,#280
799000,232,8,3,#281
3295000,185,3,3,#282
4875000,171,3,3,#283
14650000,386,5,4,#284
825000,53,0,1,#285
1780000,301,7,5,#286
1650000,242,7,4,#287
359000,111,2,2,#288
439000,103,3,1,#289
715000,79,2,2,#290
175000,56,1,1,#291
399000,88,2,1,#292
619000,107,3,1,#293
369000,179,6,3,#294
668000,96,2,2,#295
548000,185,2,1,#296
1049999,279,6,5,#297
1950000,256,7,6,#298
1500000,294,7,6,#299
533000,219,4,2,#300
