5:42
795,27,10,10,40,#1
1450,83,10,20,-10,#2
1450,68,10,20,30,#3
1600,78,10,20,10,#4
1700,82,10,20,20,#5
2600,126,20,20,40,#
570,44,10,10,30,#
640,53,10,10,20,#
640,54,10,10,30,#
725,69,10,20,10,#10
755,68,10,20,30,#
775,74,10,20,20,#
785,74,10,20,0,#
785,74,10,20,10,#
785,74,10,20,10,#
790,74,10,20,10,#
805,74,10,20,0,#
810,74,10,20,10,#
865,81,10,20,10,#
905,79,20,20,30,#20
905,79,20,20,30,#
1030,98,20,30,30,#
1050,102,20,30,30,#
1075,102,20,30,30,#
1120,107,20,30,30,#
1400,133,20,30,30,#
890,90,10,30,30,#
1047,48,10,00,110,#
747,51,10,00,50,#
996,51,10,00,130,#30
1058,58,10,10,100,#
1100,58,10,10,140,#
1118,52,10,10,300,#
1174,52,10,10,300,#
1267,67,10,10,190,#
1314,61,10,10,230,#
1342,74,10,10,180,#
1535,89,10,20,50,#
1582,85,10,20,40,#
1599,89,10,20,70,#40
1730,89,10,20,120,#
2758,98,10,20,410,#42



